job_names,job_group,level,salary,work_mode,domain_list,domain_group,skills_list,languages,tools,frameworks,libraries,programming_languages,others,company_names,city,post_date
Backend Developer,Backend Developer,senior,Up to $1633,At office,"['Banking', 'Financial Services']",['Finance'],"['Java', 'API', 'Spring Boot', 'Database', 'PL/SQL', 'Oracle']",,"['API', 'Oracle']",['Spring Boot'],,"['Java', 'PL/SQL']",['Database'],SHINHAN DS,Ho Chi Minh,2025-11-25
Manual Tester,QA / Tester,mid,Unknown,At office,['IT Services and IT Consulting'],['IT & Software'],"['Tester', 'Automation Test', 'MLOps', 'AI', 'QA QC']",,,,,,"['Tester', 'Automation Test', 'MLOps', 'AI', 'QA QC']",MEGAZONE,Ha Noi,2025-11-25
AI / Machine Learning Engineer,Data / AI,senior,Unknown,Hybrid,"['IT Services and IT Consulting', 'Software Development Outsourcing', 'Software Products and Web Services']",['IT & Software'],"['AI', 'LLM', 'Deep Learning', 'Machine Learning', 'Computer Vision', 'Python']",,,,,['Python'],"['AI', 'LLM', 'Deep Learning', 'Machine Learning', 'Computer Vision']",ELCA,Ho Chi Minh,2025-11-25
Fullstack Developer,Fullstack Developer,junior,Unknown,At office,['Publishing and Printing'],['Other'],"['Mockups', 'UI-UX', 'Figma', 'API', 'Python', 'NodeJS']",,"['Figma', 'API']",,,['Python'],"['Mockups', 'UI-UX', 'NodeJS']",SenPrints,Ha Noi,2025-11-25
Cloud Engineer,DevOps / Cloud,mid,Unknown,At office,['AI Software & Services'],['AI / Emerging Tech'],"['DevOps', 'Cloud']",,,,,,"['DevOps', 'Cloud']",LG CNS Việt Nam,Ha Noi,2025-11-25
Cloud Engineer,DevOps / Cloud,junior,Unknown,At office,['AI Software & Services'],['AI / Emerging Tech'],"['Cloud', 'English']",['English'],,,,,['Cloud'],LG CNS Việt Nam,Ha Noi,2025-11-25
ERP Consultant,ERP / Enterprise Systems,Unknown,Unknown,At office,['Staffing and Recruiting'],['Professional / Services'],"['SAP', 'HRM / HCM', 'English']",['English'],['SAP'],,,,['HRM / HCM'],LG CNS Việt Nam,Ha Noi,2025-11-25
Game Designer,Game,mid,Unknown,At office,['Game'],['Gaming'],"['Games', 'Live2D', 'UI-UX', '3ds Max', 'Adobe Photoshop', 'Illustrator']",,"['Live2D', '3ds Max', 'Adobe Photoshop']",,,,"['Games', 'UI-UX', 'Illustrator']",BinarixTech,Ho Chi Minh,2025-11-25
Product Owner,Manager / Lead,lead,Unknown,Hybrid,"['IT Services and IT Consulting', 'Software Development Outsourcing', 'Software Products and Web Services', 'Healthcare']","['IT & Software', 'Healthcare']","['Product Owner', 'English', 'Project Management', 'AI', 'Tester', 'Business Analysis']",['English'],,,,,"['Product Owner', 'Project Management', 'AI', 'Tester', 'Business Analysis']",Cloud Technology,Ho Chi Minh,2025-11-25
Backend Developer,Backend Developer,senior,Up to $1400,Hybrid,['IT Services and IT Consulting'],['IT & Software'],"['PHP', 'AWS', 'Zend', 'Laravel']",,['AWS'],"['Zend', 'Laravel']",,['PHP'],,Extreme Việt Nam,Ha Noi,2025-11-25
Backend Developer,Backend Developer,junior,Up to $1400,Hybrid,['IT Services and IT Consulting'],['IT & Software'],"['Python', 'Django', 'FastAPI', 'Flask', 'Odoo', 'Java']",,,"['Django', 'FastAPI', 'Flask']",,"['Python', 'Java']",['Odoo'],Extreme Việt Nam,Ha Noi,2025-11-25
Backend Developer,Backend Developer,senior,Unknown,At office,['Retail and Wholesale'],['Ecommerce & Retail'],"['Odoo', 'HTML', 'PostgreSql', 'Python']",,['PostgreSql'],,,"['HTML', 'Python']",['Odoo'],Golden Friend,Ho Chi Minh,2025-11-25
Manual Tester,QA / Tester,intern,Up to $1400,At office,"['Cyber Security', 'Software Products and Web Services', 'AI Software & Services']","['IT & Software', 'AI / Emerging Tech']","['QA QC', 'Networking', 'Linux', 'Tester', 'Cloud', 'English']",['English'],,,,,"['QA QC', 'Networking', 'Linux', 'Tester', 'Cloud']",Nakivo,Ho Chi Minh,2025-11-25
