job_names,company_names,salaries,position_names,kind_jobs,array_skills,locate_names,exp_skills,domain_arr,post_dates_formatted
Mid/Senior Android Engineer,SMG Swiss Marketplace Group,"2,000 - 4,000 USD",Mobile Application Developer,Hybrid,"['Android', 'English', 'CI/CD', 'Clean Architecture', 'MVVM', 'Kotlin']","Viettel Tower, 285 CMT8, District 10, Ho Chi Minh","What will you bring to the ride?
Fluency in English, written and verbal communication.
Bachelor’s degree in Computer Science, Engineering, or a related field, or equivalent work experience.
4+ years of Android development experience with a strong grasp of Android SDK, Kotlin, Java, and Android Studio.
Deep understanding of UI/UX best practices for Android.
Proven experience with RESTful APIs and third-party libraries, along with experience working with databases and local storage.
Knowledge of reactive programming patterns and experience with libraries such as Kotlin Coroutines.
Familiarity with Android architecture patterns (e.g., MVVM, MVP) and a strong grasp of modular and clean architecture principles.
Experience with CI/CD practices, test automation, and performance profiling.
Experience with analytics and logging tools, such as Datadog, Firebase, or similar, to monitor app performance and user behavior.
Strong communication skills, with a proactive approach to problem-solving and collaboration in cross-functional teams.
Experience with Android Jetpack components and libraries, including Navigation, LiveData, and ViewModel.
Nice-to-Have Qualifications:
Knowledge of privacy and security best practices in Android application development.
Familiarity with cloud platforms and services such as AWS, GCP, or Firebase for app integration.
We value the skills you bring and your ability to learn quickly, so don’t worry if your career path has been unique.",['Software Products and Web Services'],24/11/2025 17:37
[Da Nang] Mobile Developer (Android / iOS),ONE Tech Stop Vietnam Company Ltd,You'll love it,Mobile Application Developer,At office,"['Mobile Apps', 'ReactJS', 'API', 'Flutter', 'iOS', 'Android']","Tầng 3-4 tòa nhà Phi Long, 52 Nguyễn Văn Linh, Hai Chau, Da Nang","Who we are looking for
Have more than 2 years of experience in mobile native Android/iOS development and Flutter framework. 
Strong knowledge about SOLID principles, Design Patterns, Programming principles, REST APIs. 
Have experience applying MVVM, Clean Architecture for mobile development. 
Have experience with offline storage, threading, and performance tuning. 
Strong understanding of the full mobile development life cycle. 
Familiarity with cloud message APIs, push notifications, app analytics, crashlytics. 
Willing to learn new technology, another cross-platform mobile development. 
Have experience at coding (the code is well documented and compliant with good practices) and testing (Unit Test, Integration Test, User Acceptance Test, Automation Regression Test. 
Have knowledge of practices, tools, and technologies to build CI/CD. 
Have knowledge of Technical Grooming & Design good practices as well as processes. 
Have knowledge of the process and good practices for Quality Assurance. 
Have knowledge and skills in applying predefined architecture standards (Reference Architectures or agreed architectures) under follow-up. 
Have knowledge of non-functional requirements and their practices for identification and collection. 
Have knowledge of tools to define Roadmap and Risk Management. Have know-how and skills to map his/her team technical knowledge.  
Strong problem-solving skill.  
Have the ability to handle stressful situations.  
Familiar with working in an Agile environment.  
Strong English verbal and written communication skills. 
Strong skill with AI tools(Gemini, ChatGPT)
Have good teamwork skills
Nice to have
Experience with front end development (React, Vue) is a plus.
Intermediate knowledge of front-end GUI design and development. ",['IT Services and IT Consulting'],24/11/2025 17:37
"Back End Developer (Java, MySQL, Spring)",LG CNS Việt Nam,You'll love it,Backend Developer,At office,"['Java', 'MySQL', 'Spring']","Tầng 15, tòa Keangnam Landmark 72, Mễ Trì, Nam Tu Liem, Ha Noi","Có ít nhất 3 năm kinh nghiệm về JAVA 
Có kinh nghiệm phát triển ứng dụng web
Phát triển dựa trên Spring, Spring Boot F/W
Phát triển API (REST API)
Sử dụng thành thạo 1 trong các ngôn ngữ DB như MySQL, MongoDB , Oracle , SQL 
Git, Jira, Confluence
Hiểu và áp dụng CI/CD
Giao tiếp Tiếng anh ở mức trung bình (TOEIC trên 550 và các chứng chỉ tương tự hoặc tự tin giao tiếp tiếng anh)
ƯU TIÊN
Có kinh nghiệm làm việc trong môi trường Kubernetes, Cloud (AWS, GCP) sử dụng Python
Biết làm về GO
Có kinh nghiệm về tối ưu hóa SQL
Giao tiếp tiếng Hàn",['AI Software & Services'],24/11/2025 17:37
"Full Stack Developer (Java, Springboot, React)",LG CNS Việt Nam,You'll love it,Fullstack Developer,At office,"['Spring Boot', 'ReactJS']","Tầng 15, tòa Keangnam Landmark 72, Mễ Trì, Nam Tu Liem, Ha Noi","[Required]
Bachelor's degree of Information Technology or higher 
Have working experiment and excellent knowledge at software developing using Java, Spring boot
Have working experiment and excellent knowledge at software developing using React, HTML, JavaScript
Good knowledge about AI (Azure OpenAI and GenAI)
Good knowledge about public cloud (Azure, AWS,)
Database: MariaDB (or MySQL). 
[Preferred]
Having experiment with Python and Google cloud

 ",['AI Software & Services'],24/11/2025 17:37
Data Engineer (DBA),LG CNS Việt Nam,You'll love it,Data Engineer,At office,"['Oracle', 'AWS']","Tầng 15, tòa Keangnam Landmark 72, Mễ Trì, Nam Tu Liem, Ha Noi","[Required]
Having experience in bellow area
Experience in designing, building, and operating DBMS (Oracle, RDS, Redshift, BigQuery, etc.) in public cloud environments such as AWS, GCP, and Azure
Experience in SQL development and performance tuning in database environments such as Mysql, Mariadb, Postgresql, and Oracle
Graduated from University
Average Verbal English Communication skill (Ability to perform work in English)
 [Nice to have]
Positive thinking and friendly
Korean communication",['AI Software & Services'],24/11/2025 17:37
Jr/Mid/Sr AI Engineer (Data Scientist),MTI TECHNOLOGY,You'll love it,Data Scientist,Hybrid,"['NLP', 'LLM', 'Generative AI', 'Machine Learning', 'MLOps', 'English']","20 Cong Hoa Garden, Cong Hoa, Tan Binh, Ho Chi Minh","Required Skills & Qualifications
AI ENGINEER
A Bachelor's degree in a technical field such as CS, AI, or Data Science, or equivalent practical experience. A Master’s degree is a plus.
2- 3 years of professional experience building and shipping software, with a focus on AI/ML systems.
Familiarity with cloud platforms (AWS, Azure, GCP). 
Proficiency with containerization (Docker, Kubernetes) and modern CI/CD practices for production environments. 
Experience in building or prototyping features with GenAI capabilities (LLMs, Embeddings, Fine-Tuning) and core NLP concepts.
Experience in agentic frameworks (eg. LangChain, MCP, AutoGen) for building LLM-powered applications.
Experience with reinforcement learning, especially RLHF or applying RL to agent-based systems.
Fluent in English with strong communication skills, especially when engaging with non-technical business stakeholders.
The ability to work independently, troubleshoot complex issues, and mentor more junior team members is also expected.
Strong problem-solving skills and a data-driven mindset are fundamental.
Develop and Implement Evaluation Frameworks: The engineer will be responsible for creating and deploying frameworks to test and benchmark generative AI solutions for both quantitative and qualitative metrics
Experience with high-performance computing, GPU optimization, and building for low-latency environments is a strong plus. 
DATA SCIENTIST
Bachelor’s degree in Mathematics, Statistics, Data Science, Computer Science, AI, Engineering, or a highly related field is required. A Master’s degree in any of the above disciplines is preferred.
Have at least 3 years and above of experience in one or more data science domains such as machine learning, deep learning, natural language processing (NLP), computer vision (CV), optimization, or statistics.
Proven experience leading data science workstreams or small projects, and mentoring junior data scientists.
Fluent in English with strong communication skills, especially when engaging with non-technical business stakeholders.
Experience with MLOps tools and practices (e.g., model packaging, CI/CD for ML, model monitoring, ML pipelines).
High proficiency in Python and SQL, along with relevant data science libraries
Hands-on experience with cloud platforms (e.g., GCP, AWS, Azure) and containerization (e.g., Docker, Kubernetes).
Capable of researching, reading publications, and translating research papers into code.
Have excellent problem-solving skills. Be proactive and take full responsibility.
Ability to participate in communication of technical concepts and collaborate effectively with cross-functional teams.
Ability to engage with business stakeholders to gather domain knowledge and requirements, and to communicate timelines, results, and other relevant matters.
Familiarity with agile delivery practices is a plus. ","['IT Services and IT Consulting', 'Transportation, Logistics and Warehouse']",24/11/2025 17:37
"Java Engineer (Spring, Junit) From 3 Years",Rakus Vietnam Company,From $1300,Fullstack Developer,At office,"['Java', 'GitHub', 'PostgreSql', 'JUnit', 'Spring', 'JavaScript']","Tầng 7, QTSC Building 1, Đường số 14, CVPM Quang Trung, Phường Trung Mỹ Tây, District 12, Ho Chi Minh","Yêu cầu cơ bản:
Có ít nhất 3 năm kinh nghiệm trở lên về kiến thức và đam mê lập trình ứng dụng web với: 
- Ngôn ngữ: Java
- JavaScript, jQuery. 
- PostgreSQL, MySQL ... 
- các Frameworks như Spring, Springboot hay Struts, Seasar2, Hibernate ... 
Có kinh nghiệm Automation test: Jmeter, JUnit, Selenium
Có kinh nghiệm DevOps:  Git, GitHub, Jenkins, Docker
Có khả năng tạo/trình bày tài liệu kĩ thuật dễ hiểu và chia sẻ kiến thức với đồng nghiệp 
Có khả năng research để giải quyết các vấn đề về kĩ thuật. 
Ưu tiên:
Sử dụng hiệu quả các công cụ AI như Github copilot, Gemini, Claude, ChatGPT, ...
Đọc hiểu tài liệu bằng tiếng Anh tốt 
Có khả năng đọc, hiểu và phân tích yêu cầu nghiệp vụ từ phía khách hàng 
Có khả năng phát hiện và giải quyết vấn đề tốt  
Có khả năng giao tiếp tốt 
Hiểu quy trình và phong cách làm việc tại công ty Nhật là một lợi thế.
Lưu ý: Không tuyển ứng viên nước ngoài.",['Software Products and Web Services'],24/11/2025 16:37
Senior Backend Engineer (Go/Java),Trusting Social,You'll love it,Backend Developer,At office,"['Golang', 'Java', 'Database', 'Security']","Havana Tower - 132 Ham Nghi, District 1, Ho Chi Minh","Educational Background:
Bachelor’s degree or higher in Computer Science, Engineering, or a related field.
Experience:
5+ years of software development experience.
Solid expertise in Golang (or the confidence to learn it quickly when coming from other similar programming languages).
API Design & Development:
Proficient in designing and developing RESTful APIs and gRPC interfaces.
Experience building backend services optimized for high performance, scalability, and reliability.
Database Expertise:
Strong database and schema design skills for performance and scalability across both relational and NoSQL databases (e.g., MySQL, PostgreSQL, MongoDB, Redis, Elasticsearch, RocksDB).
System Design:
Deep understanding of complex system design, design patterns, data structures, algorithms, microservices, and event-driven architecture.
Experience with system tuning for high performance and reliability.
DevOps & Tooling:
Hands-on experience with CI/CD tools such as GitHub workflows and Jenkins.
Familiarity with Docker containers and Kubernetes.
Knowledge of automated testing practices, caching techniques, and version control systems like Git.
Nice to Have:
Experience with cloud platforms (AWS, GCP, or Azure).
Exposure to or interest in the AI domain with a willingness to leverage AI to enhance team productivity.
Experience with microservice architecture is a plus.",['Financial Services'],24/11/2025 16:37
ERP Manager (Project Management),Yes4All,You'll love it,ERP Developer,At office,"['ERP', 'Microsoft Dynamics 365', 'Stakeholder management']","127 Hong Ha, Phu Nhuan, Ho Chi Minh","Qualifications:
Experience:
At least 07-10 years of collective experience in building ERP systems, with 05 years working with ERP implementation in specially with Microsoft Dynamics 365 F&O
Experience with large-scale, cross-functional project implementations.
Experience working with external vendors or partners for ERP implementation is essential.
Extensive project management experience in joint business and technical environments.
Experience and knowledge of change management principles, methodologies, and tools.
Technical Expertise:
A solid understanding of how people go through project implementation and the change process.
Great data analytical skills to assess the performance of people, processes, and systems.
Skills:
Excellent analytical and problem-solving skills to address complex system and process challenges.
Ability to effectively and impactfully communicate across all levels from the front line to the executive team.
Ability to establish and maintain strong relationships.
Ability to influence people from different levels of the organization.
Education:
Bachelor’s degree in Information Technology, Business/Economics, Management, or a related field.
Professional certifications are a plus, but not required.
By signing this JD, both parties agree that they have read and are aware of the Responsibilities and Authorities, Core and Leadership Competencies, and Requirements of the position mentioned above.","['E-commerce', 'Retail and Wholesale', 'IT Services and IT Consulting', 'Trading and Commercial', 'Software Products and Web Services']",24/11/2025 16:37
Software Developer (Java/Python/.Net),SSI Securities Corporation,You'll love it,Software/Technical Architect,At office,"['Java', 'Python']","1 Luong Yen, Hai Ba Trung, Ha Noi","• Tốt nghiệp Đại học chuyên ngành CNTT, Hệ thống thông tin, hoặc các ngành liên quan.
• Từ 2 năm kinh nghiệm lập trình với Java/Python, ưu tiên từng tham gia triển khai/ quản trị hệ thống ERP.
• Có kinh nghiệm làm việc với máy chủ Linux, window server, có kiến thức, hiểu biết về network
• Thành thạo PL/SQL, có kinh nghiệm làm việc với cơ sở dữ liệu Oracle/Postgre/SQL Server.
• Có kinh nghiệm với Oracle APEX, eInvoice và phần mềm quản lý nhân sự (HRM/HRIS).
• Ưu tiên ứng viên có kinh nghiệm với ERP như Oracle EBS, SAP, Bravo, triển khai Apache Airflow, dbt cho quản lý luồng dữ liệu.
• Kỹ năng phân tích và xử lý sự cố tốt, chủ động trong công việc.","['Blockchain & Web3 Services', 'Banking', 'Securities & Investment']",24/11/2025 16:37
