job_names,company_names,salaries,position_names,kind_jobs,array_skills,locate_names,exp_skills,domain_arr,post_dates_formatted
Senior Java Backend Developer,SHINHAN DS,Up to 40m vnd,Backend Developer,At office,"['Java', 'API', 'Spring Boot', 'Database', 'PL/SQL', 'Oracle']","Floor 3, The Mett Tower, 15 Tran Bach Dang Street, Thu Thiem Ward,, Thu Duc City, Ho Chi Minh","Job Requirements:
Bachelor’s degree in Computer Science/IT or related field
5+ years of experience in web/backend development with Java technologies (Spring Boot, Spring MVC, JPA/Hibernate).
Strong knowledge of PL/SQL and Oracle Database.
Able to perform code review and give suggestions on solutions and designs. 
Strong experience in building RESTful APIs; solid understanding of HTTP, REST, and SOAP services.
Familiarity with Agile development methodologies and tools.
Preferred Qualifications: 
Good experience with Docker & Kubernetes
Experience on Front-end development: ReactJS, Angular. 
Knowledge of Microservice","['Banking', 'Financial Services']",25/11/2025 15:05
"Application Tester(QA QC, AI Model Management Platform)",MEGAZONE,You'll love it,Manual Tester,At office,"['Tester', 'Automation Test', 'MLOps', 'AI', 'QA QC']","54 Lieu Giai, Ba Dinh, Ha Noi","Basic Requirements
Minimum 4 years of experience in application testing and Software Quality Assurance (QA).
Proficient understanding of test case design, execution, and the defect management process.
Experience performing Regression Testing and effectively managing quality in a high-frequency deployment environment.
Fundamental understanding of test automation (knowledge of automation script purpose and functionality).
English reading and writing skills (Essential for understanding and creating professional documents).
Highly Desirable Skills
Experience in testing MLOps platforms, data pipelines, or AI model related systems.
Experience performing tests on AI-based solutions and applications.
Experience in building test automation systems or using automation tools (Selenium, Cypress, etc.).
Experience conducting System Integration Test (SIT) or User Acceptance Test (UAT).
English speaking skills (Ability to conduct business conversation).
Understanding of scripting languages like Python for testing purposes.",['IT Services and IT Consulting'],25/11/2025 15:05
Senior AI Engineer,ELCA,You'll love it,AI / Machine Learning Engineer,Hybrid (flexible between home and office),"['AI', 'LLM', 'Deep Learning', 'Machine Learning', 'Computer Vision', 'Python']","CII Building, 152 Dien Bien Phu, Thanh My Tay Ward , Binh Thanh, Ho Chi Minh","Bachelor’s degree in computer science, AI, or related
Strong knowledge of Python or other programming languages
Able to read and write technical documents in the English language
Good technical, analytical, and problem-solving skills
Passionate, pro-active, and keen to learn new technologies
Knowledge of Machine Learning Algorithms, LLM, Deep Learning, NLP, and Computer Vision
Experience with data preprocessing, feature engineering, and model evaluation techniques.
Experience with AI/ML frameworks (e.g., TensorFlow, PyTorch, OpenAI, RAG,..)
Experience with software engineering and collaboration tools (e.g., Git, JIRA, Microsoft Teams)
At least 5 years of experience working in the IT industry
Including at least 3 years of experience in the AI field as an AI/ML engineer or similar position
Proven experience in coaching and supervising other developers and team members
Nice to have
Knowledge of AI Cloud (Azure, AWS, OCI) is a plus
Knowledge of MLOps tools (e.g., Mlflow, Kubeflow, etc.)
Knowledge of big data platforms (e.g., Spark, Databricks) or data analysis tools (e.g., pandas)
Experience in leading a project or a team","['IT Services and IT Consulting', 'Software Development Outsourcing', 'Software Products and Web Services']",25/11/2025 14:05
"Fullstack Developer Render Mockup (Python, NodeJS, API)",SenPrints,You'll love it,Fullstack Developer,At office,"['Mockups', 'UI-UX', 'Figma', 'API', 'Python', 'NodeJS']","T3-OF08, Timescity, 458 Minh Khai, Hai Ba Trung, Ha Noi","Kinh nghiệm Fullstack từ 1–3 năm (hoặc tương đương).
Kinh nghiệm xử lý render mockup cho các hệ thống POD.
Sử dụng ngôn ngữ lập trình NodeJS hoặc Python.
Thành thạo perspective warp, mask/clipping path, blend mode.
Hiểu cách render mockup 2D/3D.
Có khả năng đọc/ghi buffer ảnh, tối ưu hiệu năng.
Lợi thế:
Có kinh nghiệm render mockup thực tế.",['Publishing and Printing'],25/11/2025 14:05
Cloud/DevOps Engineer,LG CNS Việt Nam,You'll love it,Cloud Engineer,At office,"['DevOps', 'Cloud']","Tầng 15, tòa Keangnam Landmark 72, Mễ Trì, Nam Tu Liem, Ha Noi","Bachelor’s degree or higher in IT, Computer Science, or a related field.
At least 3 years of experience in roles such as Cloud Architect, Cloud Consultant, or DevOps Engineer with expertise in AWS, GCP, or Azure.
Familiarity with scripting languages such as Bash, Python, or Golang is a plus.
Experience with AI/ML technologies, including Cloud AI platforms, AI Orchestrators, and DataOps, is a plus.
Proven experience in leading technical teams or managing projects is an advantage.
In-depth knowledge of system design, architecture patterns, and cloud best practices.
Strong problem-solving abilities and analytical skills.
Proficiency in English; understanding Korean is a significant advantage",['AI Software & Services'],25/11/2025 13:05
Cloud System Engineer (GCP),LG CNS Việt Nam,You'll love it,Cloud Engineer,At office,"['Cloud', 'English']","Tầng 15, tòa Keangnam Landmark 72, Mễ Trì, Nam Tu Liem, Ha Noi","Requirement
[Required]
Graduated from University, Information Technology major or related
Have at least 1 year of experience in System Administrattion or Cloud Administrator
[Preferred]
Experience with managing cloud infrastructure on Google Cloud Platform (GCP), including services like Compute Engine, Cloud Storage, VPC, GKE, and Cloud SQL.
Proficient in Infrastructure-as-Code (IaC) tools like Terraform, Google Cloud Deployment Manager, or equivalent.
Familiarity with CI/CD pipelines and integrating infrastructure management into DevOps practices.
Strong scripting skills in languages like Bash, Python, or Go for automation tasks.
Experience with backup, recovery, and disaster recovery strategies in a cloud environment.
 Opportunity
Attractive salary and bonus will be discussed after going through CV & Interview
Topik allowance
Review capacity annually and adjust salary increases according to work performance.
Health care: Premium health insurance, Annual health check-up
Young working environment
Good career development opportunities with interesting and challenging projects.
English, Korean, technical, soft skills training courses.
Opportunity to learn special courses from LG CNS, new technology and security.
Gifts on holidays (April 30th - May 1st, September 2nd, Tet, etc.)
Outdoor activities with company support: sports clubs, team building, happy hour parties, birthdays, travel, employee and family events, etc.
Working hours: 8 hours from Monday - Friday (8 hours/day)
 Location
Onsite 15th Floor, Keangnam Landmark 72, Me Tri, Nam Tu Liem, Hanoi",['AI Software & Services'],25/11/2025 13:05
SAP SuccessFactors Techincal Consultant,LG CNS Việt Nam,You'll love it,ERP Consultant,At office,"['SAP', 'HRM / HCM', 'English']","Tầng 15, tòa Keangnam Landmark 72, Mễ Trì, Nam Tu Liem, Ha Noi","• Candidates must hold a bachelor’s degree or be in the final stages of completing their degree program.

 • Passion for Solutions and IT Technologies, and have a proactive attitude toward adopting new IT technologies. Possess flexible and effective communication abilities to collaborate with diverse teams and stakeholders.

 • No specific major is required (Candidates from all academic backgrounds are welcome.)

 • Preferred Qualifications (Bonus Points): Proficiency in Korean and English would be considered as a competitive advantage.",['Staffing and Recruiting'],25/11/2025 13:05
"Game Artist (Photoshop, Illustrator, InDesign, UI/UX)",BinarixTech,You'll love it,Game Designer,At office,"['Games', 'Live2D', 'UI-UX', '3ds Max', 'Adobe Photoshop', 'Illustrator']","19A Huỳnh Đình Hai, P. 14, Binh Thanh, Ho Chi Minh","Academic background in Art/Design or equivalent programs.
At least 3 years experience as a Concept Artist, preferably in the i-gaming and casual/mobile game industry.
Professional level in Photoshop, Illustrator, InDesign
Using in advanced the softwares: Photoshop, Illustrator, Spine, Blender/Maya/3ds Max…
Understanding the UX/UI in design.
English communication
Possess good understanding of design standards and visual hierarchy such as in composition, lighting, color, proportion, perspective,…
Good understanding of composition, lighting, color theory, and design principles.
Good level in 2D art: hand-drawing, digital painting and illustration.
Good problem-solving skill.",['Game'],25/11/2025 13:05
"Technical Product Owner (English, Delivery Lead)",Cloud Technology,You'll love it,Product Owner,Hybrid (flexible between home and office),"['Product Owner', 'English', 'Project Management', 'AI', 'Tester', 'Business Analysis']","341-343, Dien Bien Phu - Hd Bank Building , Binh Thanh, Ho Chi Minh","We are open to both Senior and High-Potential Middle candidates who meet the following core criteria:
Technical Background: Prior experience as a Developer, Tester, or Technical BA is essential. You must understand software architecture to communicate effectively with Engineers.
English Proficiency: Excellent verbal and written communication skills are mandatory. You need the ability to debate logic, clarify ambiguities, and confirm requirements with native US speakers.
AI Adaptability: Demonstrated ability to integrate AI tools into daily workflows for efficiency and rapid learning (Heavy AI Usage).
High Ownership: A strong sense of responsibility. You focus on results and solutions, navigating complex reporting lines without waiting for instructions.
Level Differentiation:
Senior: Capable of driving product strategy, managing conflicting stakeholder needs, and leading the team independently.
Middle: Strong technical foundation, fast learning agility, and a willingness to intensively learn the US Healthcare domain.","['IT Services and IT Consulting', 'Software Development Outsourcing', 'Software Products and Web Services', 'Healthcare']",25/11/2025 13:05
PHP Senior (Laravel/ AWS) ~ Up to $1400,Extreme Việt Nam,You'll love it,Backend Developer,Hybrid (flexible between home and office),"['PHP', 'AWS', 'Zend', 'Laravel']","Tầng 31, tòa Keangnam Hanoi Landmark 72, Lô E6, Đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội, Nam Tu Liem, Ha Noi","- Có trên 5 năm kinh nghiệm phát triển backend với PHP, Laravel hoặc Zend Framework.
- Có kinh nghiệm PHPUnit code
- Thành thạo xây dựng RESTful API và design pattern
- Có kiến thức và kinh nghiệm làm việc với AWS (EC2, ECS, CloudWatch...).
- Có kiến thức về infra, có khả năng thiết kế hệ thống.
- Có hiểu biết cơ bản về cơ chế logging, monitoring, và xử lý log.
- Có kinh nghiệm viết test bằng PHP Unit.
- Hiểu và sử dụng tốt Git, có kinh nghiệm làm việc trong môi trường teamwork.
- Có kĩ năng review tài liệu spec và review code (Code Review) chi tiết, hiệu quả cho các thành viên trong nhóm.",['IT Services and IT Consulting'],25/11/2025 12:05
